ic001,am001,ald001,ptsa,yield
0.21,0.12,0.3,0.03597492163009404,0.010774322546773605
0.3,0.12,0.27,0.03597492163009404,0.017540842065687137
0.3,0.21,0.27,0.03597492163009404,0.0035234792824522577
0.21,0.12,0.24,0.03597492163009404,0.006518441337999752
0.15,0.12,0.21,0.03597492163009404,0.006208465228680664
0.3,0.24,0.27,0.03597492163009404,6.099228024205705e-05
0.12,0.3,0.12,0.03597492163009404,0.0007810307089332522
0.12,0.18,0.18,0.03597492163009404,0.0006970325355545268
0.15,0.12,0.24,0.03597492163009404,0.002703474690361075
0.12,0.15,0.12,0.03597492163009404,-0.00027316859306839844
0.24,0.12,0.12,0.03597492163009404,0.0015144067878728204
0.3,0.15,0.15,0.03597492163009404,0.000858708322608215
0.21,0.12,0.21,0.03597492163009404,0.005646929532830197
0.18,0.24,0.18,0.03597492163009404,-0.00048564534906691756
0.3,0.27,0.15,0.03597492163009404,-0.00022162987077896417
0.21,0.3,0.12,0.03597492163009404,-0.00014500808398602288
0.24,0.12,0.3,0.03597492163009404,0.016918569877446537
0.27,0.12,0.12,0.03597492163009404,0.0003644735177507525
0.3,0.27,0.21,0.03597492163009404,0.00013177150155291336
0.12,0.18,0.12,0.03597492163009404,-0.0006259656489614563
0.3,0.12,0.18,0.03597492163009404,0.009002704617885585
0.18,0.3,0.24,0.03597492163009404,-0.0006909654344648281
0.3,0.12,0.12,0.03597492163009404,0.002435177176675364
0.15,0.21,0.12,0.03597492163009404,0.0001485930393476198
0.24,0.18,0.18,0.03597492163009404,0.00026849865792915315
0.3,0.15,0.12,0.03597492163009404,0.002462481709822888
0.3,0.3,0.15,0.03597492163009404,-0.00037326188438312766
0.15,0.12,0.27,0.03597492163009404,0.0041128704447248405
0.3,0.3,0.21,0.03597492163009404,-0.00021000915539254555
0.3,0.21,0.12,0.03597492163009404,3.0710586618338685e-05
0.24,0.27,0.12,0.038783699059561125,0.00022050402544597817
0.3,0.24,0.24,0.038783699059561125,-0.0008220830774930408
0.27,0.12,0.3,0.038783699059561125,0.011965481494247109
0.18,0.21,0.12,0.038783699059561125,0.00013757546396583106
0.24,0.3,0.24,0.038783699059561125,6.461123676654464e-05
0.3,0.27,0.21,0.038783699059561125,9.120573337282172e-05
0.12,0.18,0.3,0.038783699059561125,0.0037141357830476392
0.3,0.21,0.3,0.038783699059561125,0.0035791040542245906
0.3,0.18,0.12,0.038783699059561125,-0.0006148677604780452
0.3,0.21,0.27,0.038783699059561125,0.004122286601853539
0.3,0.15,0.15,0.038783699059561125,0.0012737341481000655
0.18,0.18,0.18,0.038783699059561125,0.000570502872414967
0.3,0.24,0.12,0.038783699059561125,-9.58182816958298e-05
0.18,0.3,0.18,0.038783699059561125,-0.00030535878705647873
0.12,0.12,0.3,0.038783699059561125,0.006154940042499824
0.3,0.18,0.27,0.038783699059561125,0.003573980628615061
0.18,0.12,0.15,0.038783699059561125,0.0021155595700283
0.15,0.12,0.21,0.038783699059561125,0.007149751581089523
0.27,0.27,0.12,0.038783699059561125,0.00017373635685642475
0.24,0.18,0.3,0.038783699059561125,0.005725005341662431
0.3,0.21,0.12,0.038783699059561125,2.673233104860795e-05
0.24,0.21,0.12,0.038783699059561125,0.00024292555796886494
0.12,0.18,0.18,0.038783699059561125,0.0008034795313289727
0.3,0.3,0.24,0.038783699059561125,4.867969392769825e-05
0.18,0.12,0.18,0.038783699059561125,0.002622687472423912
0.3,0.3,0.12,0.038783699059561125,-4.294315054252077e-05
0.12,0.27,0.12,0.038783699059561125,0.00040200787123026655
0.15,0.24,0.12,0.038783699059561125,-0.0004082507824256678
0.12,0.12,0.24,0.038783699059561125,0.0032098764900854084
0.27,0.21,0.12,0.038783699059561125,0.000371625692567266
0.15,0.12,0.24,0.038783699059561125,0.003228217743654351
0.3,0.12,0.15,0.04159247648902821,0.004449297298055585
0.21,0.18,0.12,0.04159247648902821,0.0007261609883032169
0.18,0.3,0.18,0.04159247648902821,-0.0003240989982446534
0.27,0.12,0.18,0.04159247648902821,0.0041644594838592406
0.3,0.27,0.3,0.04159247648902821,0.0016425900897162722
0.27,0.15,0.12,0.04159247648902821,0.00026419910738052603
0.3,0.24,0.21,0.04159247648902821,0.0001987549135719583
0.27,0.12,0.3,0.04159247648902821,0.012125958549708628
0.21,0.12,0.12,0.04159247648902821,0.0016649837693747105
0.3,0.12,0.21,0.04159247648902821,0.017981880121922957
0.27,0.12,0.21,0.04159247648902821,0.008971331618171943
0.21,0.12,0.15,0.04159247648902821,0.005393975225801185
0.3,0.15,0.18,0.04159247648902821,0.004354301236485593
0.12,0.18,0.3,0.04159247648902821,0.004640370711917051
0.21,0.3,0.12,0.04159247648902821,-0.00014136885192032194
0.21,0.27,0.12,0.04159247648902821,0.0001563509368793883
0.24,0.3,0.18,0.04159247648902821,0.00025462112111756434
0.24,0.12,0.27,0.04159247648902821,0.01557610761875304
0.3,0.3,0.15,0.04159247648902821,-0.0003548093520112024
0.12,0.15,0.12,0.04159247648902821,-0.0004911727379973454
0.12,0.3,0.3,0.04159247648902821,-0.0007485298680621759
0.18,0.15,0.12,0.04159247648902821,-0.0007390531845881364
0.3,0.24,0.27,0.04159247648902821,0.0001873355220679077
0.3,0.18,0.27,0.04159247648902821,0.003510455710133557
0.18,0.12,0.15,0.04159247648902821,0.0025385080872728488
0.18,0.12,0.21,0.04159247648902821,0.0052961692605756954
0.21,0.24,0.12,0.04159247648902821,-3.847357280190573e-06
0.12,0.12,0.24,0.04159247648902821,0.003719224034722835
0.24,0.15,0.12,0.04159247648902821,0.0011341008054502365
0.21,0.21,0.12,0.04159247648902821,-0.0006151953717871317
0.24,0.12,0.3,0.04159247648902821,0.019607456142066527
0.18,0.24,0.3,0.044401253918495295,0.0014907476254041464
0.21,0.12,0.18,0.044401253918495295,0.0037241978885137936
0.3,0.21,0.24,0.044401253918495295,-0.00022542169587652392
0.24,0.18,0.12,0.044401253918495295,-0.000756797059722756
0.18,0.3,0.24,0.044401253918495295,-0.0006721164271336295
0.27,0.18,0.12,0.044401253918495295,-0.000791765673802688
0.24,0.24,0.24,0.044401253918495295,1.3356954277083527e-07
0.18,0.12,0.21,0.044401253918495295,0.005930169443207333
0.3,0.27,0.27,0.044401253918495295,0.0007282641501101437
0.18,0.3,0.3,0.044401253918495295,0.0007212992208891815
0.3,0.27,0.24,0.044401253918495295,-0.0014813164864533293
0.12,0.24,0.3,0.044401253918495295,0.002456963573562784
0.3,0.21,0.18,0.044401253918495295,0.00031148666408481495
0.15,0.12,0.18,0.044401253918495295,0.0031167747814426225
0.3,0.3,0.15,0.044401253918495295,-0.00033641526272746154
0.15,0.12,0.3,0.044401253918495295,0.011067813253571169
0.12,0.3,0.12,0.044401253918495295,0.0007874863579334493
0.21,0.24,0.12,0.044401253918495295,-3.48527446816136e-05
0.27,0.12,0.24,0.044401253918495295,0.009659908038048231
0.18,0.18,0.18,0.044401253918495295,0.0008557294267827845
0.15,0.27,0.12,0.044401253918495295,0.00029071802476171235
0.27,0.12,0.15,0.044401253918495295,0.0023206391388827323
0.21,0.18,0.12,0.044401253918495295,0.0009684966671920488
0.24,0.3,0.3,0.044401253918495295,0.0004331439040532623
0.12,0.12,0.18,0.044401253918495295,0.003075529301461443
0.12,0.24,0.12,0.044401253918495295,0.0010757849252315812
0.3,0.24,0.12,0.044401253918495295,-1.0517428993141364e-05
0.18,0.18,0.12,0.044401253918495295,-0.00021986636278763165
0.12,0.18,0.24,0.044401253918495295,0.002142983512337328
0.24,0.3,0.12,0.044401253918495295,-0.00017400521671741127
