reactions,[SN10H01](mM),[HBr](mM),Temperature,yield,reactions,DMF,SN1OH01,SN1OH01_dil_x_100,HBr,HBr_dil_x_10,HBr_dil_x_10000,vial_id,reaction_plate_id,diluted_plate_id,craic_folder,is_outlier,craic_folder_undil,pc#SN1OH01,pc#SN1Br01s1,pc#carbocat,yield#SN1Br01,yield#SN1Br01s1,run_name,spectrum_dir
47,22.90000004,56.77280862064,26.0,0.9112177679854924,47,37.24080376,380.0,0,82.75919624,0.0,0.0,47,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0020331131166835,2.0600457692046927e-05,0.0153363054468345,0.910318184681734,0.0008995833037582,simple-reactions/2023-07-05-run01/,C:\
48,17.180725031384398,21.2912344842633,26.0,0.6969724888526816,48,183.868215,285.095,0,31.03678496,0.0,0.0,48,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0052062323459668,2.060862390320625e-05,0.016183012479303,0.6957729688169694,0.0011995200357121,simple-reactions/2023-07-05-run01/,C:\
49,22.90000004,52.04193207164,26.0,0.9133698294546384,49,44.13712526,380.0,0,75.86287474,0.0,0.0,49,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0019838309089539,2.6655687742455385e-07,0.0223951440852108,0.9133581894163432,1.1640038295150756e-05,simple-reactions/2023-07-05-run01/,C:\
50,11.4614500197907,23.6566727565868,26.0,0.7525904824280898,50,275.32505430000003,190.19,0,34.48494571,0.0,0.0,50,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0028356718200709,2.0701506146520787e-05,0.0022184741356583,0.7507842968136367,0.0018061856144532,simple-reactions/2023-07-05-run01/,C:\
52,17.180725031384398,16.5603579348848,26.0,0.6144580441838174,52,190.7645365,285.095,0,24.14046346,0.0,0.0,52,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.00662389033094,5.883243410011278e-06,0.0151997547659421,0.6141156114052668,0.0003424327785506,simple-reactions/2023-07-05-run01/,C:\
53,17.1807250306972,49.676493792266996,26.0,0.8946826843267195,53,142.490286,285.095,0,72.41471398,0.0,0.0,53,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0018094278415537,2.20290066828382e-05,0.0207272665122936,0.8934004912502644,0.001282193076455,simple-reactions/2023-07-05-run01/,C:\
54,22.90000004,0.0022900000001200003,26.0,0.0,54,86.61807579999999,380.0,0,0.0,0.0,33.3819242,0,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0254917088501949,0.0033669676360719,0.0385929314955308,-0.2602042111728703,0.147029154156803,simple-reactions/2023-07-05-run01/,C:\
55,22.90000004,4.733166551455899,26.0,0.2493820979409909,55,51.00340304,380.0,0,0.0,68.99659696,0.0,1,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.017189149987176,0.0080865754042677,0.0552178014115206,-0.103743464947337,0.3531255628883279,simple-reactions/2023-07-05-run01/,C:\
56,5.7421750100299995,63.869123451,26.0,0.8752393134368212,56,311.6113215,95.285,0,93.1036785,0.0,0.0,2,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0007163976966172,0.0024886936836711,0.033934818875764,0.4418332122079242,0.4334061012288969,simple-reactions/2023-07-05-run01/,C:\
58,17.1807250310408,30.7529875892651,26.0,0.7503733309125408,58,170.075572,285.095,0,44.82942797,0.0,0.0,4,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0042887671620062,0.0035518004085047,0.0342849223859992,0.543641635824727,0.2067316950878137,simple-reactions/2023-07-05-run01/,C:\
59,5.7421750102596,49.676493792266996,26.0,0.8677970919036743,59,332.300286,95.285,0,72.41471398,0.0,0.0,5,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0007591322351543,0.0032667371381639,0.0276665744469173,0.2988946930169907,0.5689023988866836,simple-reactions/2023-07-05-run01/,C:\
60,5.7421750098003,37.84930240940599,26.0,0.8156745223221695,60,349.5410898,95.285,0,55.17391022,0.0,0.0,6,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.0010584291515911,0.0027965933048571,0.0276467491726148,0.3286476901402692,0.4870268321819002,simple-reactions/2023-07-05-run01/,C:\
