reactions,DMF,SN1OH01,SN1OH01_dil_x_100,HBr,HBr_dil_x_10,HBr_dil_x_10000,vial_id,reaction_plate_id,diluted_plate_id,craic_folder,is_outlier,craic_folder_undil,c#SN1OH01,c#HBr,Temperature,pc#SN1OH01,pc#SN1Br01s1,pc#carbocat,yield,yield#SN1Br01,yield#SN1Br01s1,run_name
53,142.490286,285.095,0,72.41471398,0.0,0.0,53,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.01718072503069723,0.04967649379226707,26,0.0018094278415537715,2.2029006682838197e-05,0.02072726651229364,0.8946826843267195,0.8934004912502644,0.0012821930764550635,simple-reactions/2023-07-05-run01/
54,86.61807579999999,380.0,0,0.0,0.0,33.3819242,0,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.022900000040000004,2.29000000012e-06,26,0.025491708850194948,0.0033669676360719553,0.03859293149553082,0.0,-0.26020421117287035,0.147029154156803,simple-reactions/2023-07-05-run01/
55,51.00340304,380.0,0,0.0,68.99659696,0.0,1,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.022900000040000004,0.004733166551455999,26,0.017189149987176026,0.008086575404267736,0.05521780141152068,0.2493820979409909,-0.10374346494733708,0.3531255628883279,simple-reactions/2023-07-05-run01/
56,311.6113215,95.285,0,93.1036785,0.0,0.0,2,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.00574217501003,0.063869123451,26,0.0007163976966172715,0.0024886936836711047,0.033934818875764064,0.8752393134368212,0.4418332122079242,0.4334061012288969,simple-reactions/2023-07-05-run01/
58,170.075572,285.095,0,44.82942797,0.0,0.0,4,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.017180725031040848,0.03075298758926518,26,0.0042887671620062615,0.003551800408504706,0.034284922385999235,0.7503733309125408,0.543641635824727,0.20673169508781375,simple-reactions/2023-07-05-run01/
59,332.300286,95.285,0,72.41471398,0.0,0.0,5,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.005742175010259687,0.04967649379226707,26,0.0007591322351543793,0.003266737138163903,0.027666574446917374,0.8677970919036743,0.29889469301699073,0.5689023988866836,simple-reactions/2023-07-05-run01/
60,349.5410898,95.285,0,55.17391022,0.0,0.0,6,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.005742175009800313,0.03784930240940603,26,0.001058429151591144,0.0027965933048571183,0.02764674917261484,0.8156745223221695,0.32864769014026923,0.4870268321819002,simple-reactions/2023-07-05-run01/
61,149.3866075,285.095,0,65.51839248,0.0,0.0,7,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.01718072503069723,0.04494561724307783,26,0.002474743326823184,0.004886424780588866,0.03592701846681541,0.8559581552931265,0.5715449671501251,0.2844131881430014,simple-reactions/2023-07-05-run01/
62,289.1176973000001,190.19,0,20.6923027,0.0,0.0,8,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.01146145002002,0.014194919652200001,26,0.005858615778642799,0.008941937686731764,0.026884178953907184,0.4888416589166809,-0.2913334211222896,0.7801750800389705,simple-reactions/2023-07-05-run01/
63,370.2000106,95.285,0,0.0,34.51498944,0.0,9,55,53,2023-07-05_20-23-01__plate0000053__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_19-04-04__plate0000055__simple_reactions_2023-07-05-run01,0.005742175009570625,0.0023677282753945808,26,0.005695055635538358,0.002966970546426727,0.05472370693900619,0.008205840810099296,-0.5084921946001074,0.5166980354102068,simple-reactions/2023-07-05-run01/
