Wavelength,bkg,ref1_c1,ref1_c2,ref1_c3,ref1_c4,ref1_c5,ref2_c1,ref2_c2,ref2_c3,ref2_c4,ref2_c5,ref3_c1,ref3_c2,ref3_c3,ref3_c4,ref3_c5
248,0.01033333333333334,0.19366666666666668,0.3951666666666666,0.5821666666666667,0.7651666666666668,0.9601666666666666,-0.011333333333333338,-0.01583333333333334,-0.01083333333333334,0.0016666666666666592,-0.007833333333333341,0.16166666666666665,0.30866666666666664,0.49466666666666664,0.6581666666666668,0.8266666666666667
249,0.010944444444444453,0.18955555555555556,0.38955555555555554,0.5705555555555555,0.7495555555555555,0.9395555555555555,-0.011444444444444452,-0.015444444444444452,-0.010944444444444455,0.0010555555555555466,-0.007444444444444452,0.15505555555555556,0.2965555555555555,0.4750555555555555,0.6310555555555556,0.7950555555555556
250,0.010129629629629636,0.18287037037037038,0.37437037037037035,0.5493703703703705,0.7208703703703704,0.9003703703703705,-0.011629629629629636,-0.014629629629629635,-0.011129629629629635,0.0013703703703703638,-0.0016296296296296362,0.14687037037037037,0.2808703703703703,0.44987037037037036,0.5978703703703704,0.7523703703703704
251,0.00957407407407408,0.17492592592592593,0.3549259259259259,0.5209259259259259,0.6844259259259259,0.854925925925926,-0.01157407407407408,-0.01507407407407408,-0.01107407407407408,0.001425925925925919,0.0009259259259259195,0.13642592592592592,0.26242592592592595,0.4224259259259259,0.5629259259259259,0.7049259259259258
252,0.009740740740740748,0.16575925925925925,0.33125925925925925,0.4887592592592592,0.6417592592592593,0.8037592592592593,-0.011240740740740749,-0.015240740740740746,-0.012240740740740746,0.0007592592592592521,-0.00024074074074074796,0.12425925925925926,0.23925925925925925,0.38875925925925925,0.5182592592592593,0.6492592592592593
253,0.009648148148148154,0.15335185185185185,0.3078518518518519,0.4558518518518519,0.5978518518518517,0.7488518518518518,-0.010648148148148153,-0.014148148148148153,-0.011148148148148154,0.0013518518518518463,-0.0031481481481481543,0.11235185185185184,0.21435185185185185,0.35035185185185186,0.46585185185185185,0.5843518518518518
254,0.010000000000000005,0.1415,0.286,0.423,0.5545,0.692,-0.011000000000000006,-0.013500000000000005,-0.010000000000000005,0.0004999999999999944,-0.004500000000000005,0.09699999999999999,0.1865,0.305,0.40599999999999997,0.511
255,0.008722222222222228,0.13127777777777777,0.2682777777777778,0.3957777777777778,0.5172777777777778,0.6462777777777778,-0.01022222222222223,-0.012222222222222228,-0.00972222222222223,0.0007777777777777713,-0.0032222222222222287,0.08227777777777777,0.1567777777777778,0.2592777777777778,0.34477777777777774,0.43377777777777776
256,0.008351851851851857,0.12414814814814815,0.2536481481481482,0.3741481481481482,0.48864814814814816,0.6131481481481481,-0.010851851851851856,-0.013851851851851855,-0.010351851851851859,0.001148148148148143,-0.004851851851851858,0.06564814814814814,0.12714814814814815,0.21364814814814814,0.28614814814814815,0.35814814814814816
257,0.00844444444444445,0.11905555555555555,0.24205555555555555,0.3560555555555555,0.4665555555555555,0.5860555555555556,-0.010944444444444451,-0.01394444444444445,-0.010944444444444451,0.0015555555555555487,-0.005944444444444451,0.05205555555555555,0.10005555555555555,0.17305555555555555,0.23105555555555554,0.2905555555555555
