ic001,am001,ald001,ptsa,yield
0.12,0.12,0.15,0.13709090909090907,0.025625267150270185
0.12,0.12,0.15,0.13989968652037615,0.02569942904724105
0.12,0.12,0.15,0.14270846394984324,0.025684170094727163
0.12,0.12,0.15,0.14551724137931032,0.025578751933637216
0.12,0.12,0.15,0.14832601880877744,0.025382436204879896
0.12,0.12,0.15,0.15113479623824452,0.025094484616201652
0.12,0.12,0.15,0.1539435736677116,0.0247157887137146
0.12,0.12,0.15,0.15675235109717867,0.024253097903850135
0.12,0.12,0.15,0.15956112852664575,0.02371447716033722
0.12,0.12,0.15,0.16236990595611284,0.023107991456904838
0.12,0.12,0.15,0.16517868338557992,0.022441705767281973
0.12,0.12,0.15,0.167987460815047,0.021723685065197593
0.12,0.12,0.15,0.1707962382445141,0.020961994324380687
0.12,0.12,0.15,0.17360501567398118,0.020164698518560224
0.12,0.12,0.15,0.17641379310344826,0.019339862621465195
0.12,0.12,0.15,0.17922257053291535,0.01849555160682457
0.12,0.12,0.15,0.18203134796238243,0.017639830448367328
0.12,0.12,0.15,0.18484012539184952,0.01678076411982245
0.12,0.12,0.15,0.1876489028213166,0.01592641759491891
0.12,0.12,0.15,0.1904576802507837,0.015084855847385692
0.12,0.12,0.15,0.19326645768025077,0.01426414385095177
0.12,0.12,0.15,0.19607523510971786,0.01347234657934613
0.12,0.12,0.15,0.19888401253918495,0.012717529006297745
0.12,0.12,0.15,0.20169278996865203,0.012007756105535596
0.12,0.12,0.15,0.20450156739811912,0.01135109285078866
0.12,0.12,0.15,0.2073103448275862,0.010755604215785914
0.12,0.12,0.15,0.2101191222570533,0.010229355174256341
0.12,0.12,0.15,0.21292789968652037,0.009779190548089583
0.12,0.12,0.15,0.21573667711598746,0.00940353303277415
