Index,Mn,Fe,Co,Ni,Cu,M1-Fe,M1-Co,Yield_of_styrene_oxide (%),Yield_of_benzaldehyde (%),Selectivity_of_styrene_oxide (%)
208,0.2,0.4,0,0.2,0.2,0.2,0.8,48.86373878,4.725213242,91.18249
209,0.2,0.4,0,0.4,0,0.2,0.8,18.15516489,5.443484319,76.93307
210,0.2,0.4,0.2,0,0.2,0.2,0.8,54.83269516,5.366236769,91.08583
211,0.2,0.4,0.2,0.2,0,0.2,0.8,28.84528966,3.807041244,88.34068
212,0.2,0.4,0.4,0,0,0.2,0.8,32.59858415,4.881750047,86.97517
213,0.2,0.6,0,0,0.2,0.2,0.8,47.59434491,3.628845969,92.91562
214,0.2,0.6,0,0.2,0,0.2,0.8,17.87461793,0.572451953,96.89679
215,0.2,0.6,0.2,0,0,0.2,0.8,25.53244764,3.329924899,88.46275
216,0.2,0.8,0,0,0,0.2,0.8,21.32099369,3.144540843,87.14706
217,0.4,0,0,0,0.6,0.2,0.8,61.29671586,0.749801309,98.79155
218,0.4,0,0,0.2,0.4,0.2,0.8,55.0302104,1.962519492,96.55654
219,0.4,0,0,0.4,0.2,0.2,0.8,36.02812759,5.046396725,87.71405
220,0.4,0,0,0.6,0,0.2,0.8,17.08955745,5.069554535,77.12203
221,0.4,0,0.2,0,0.4,0.2,0.8,59.72066373,5.311767314,91.83213
222,0.4,0,0.2,0.2,0.2,0.2,0.8,58.27267896,4.426769462,92.9397
223,0.4,0,0.2,0.4,0,0.2,0.8,27.3028187,4.247664796,86.53693
224,0.4,0,0.4,0,0.2,0.2,0.8,62.86342771,3.126225573,95.26255
225,0.4,0,0.4,0.2,0,0.2,0.8,30.02830033,3.839054533,88.66444
226,0.4,0,0.6,0,0,0.2,0.8,25.59372673,4.238198061,85.79308
227,0.4,0.2,0,0,0.4,0.2,0.8,55.81131576,5.481773916,91.05646
228,0.4,0.2,0,0.2,0.2,0.2,0.8,47.86447382,4.175001795,91.97724
229,0.4,0.2,0,0.4,0,0.2,0.8,16.56665313,3.249013833,83.60381
230,0.4,0.2,0.2,0,0.2,0.2,0.8,60.03968941,4.163594399,93.51498
231,0.4,0.2,0.2,0.2,0,0.2,0.8,31.16118495,4.259809974,87.97377
232,0.4,0.2,0.4,0,0,0.2,0.8,32.4520503,3.907814023,89.2524
233,0.4,0.4,0,0,0.2,0.2,0.8,52.16623724,5.706283901,90.13991
234,0.4,0.4,0,0.2,0,0.2,0.8,23.04156876,6.369541875,78.34308
235,0.4,0.4,0.2,0,0,0.2,0.8,27.99672951,6.176686513,81.92546
236,0.4,0.6,0,0,0,0.2,0.8,20.6346756,5.496270679,78.96643
237,0.6,0,0,0,0.4,0.2,0.8,57.31288744,7.564406609,88.34044
238,0.6,0,0,0.2,0.2,0.2,0.8,48.72842271,6.821777219,87.71962
239,0.6,0,0,0.4,0,0.2,0.8,18.85929049,5.835430542,76.36972
240,0.6,0,0.2,0,0.2,0.2,0.8,61.15243429,3.73328831,94.24636
241,0.6,0,0.2,0.2,0,0.2,0.8,24.60287234,5.328691449,82.19708
242,0.6,0,0.4,0,0,0.2,0.8,26.57441185,5.235717622,83.54072
243,0.6,0.2,0,0,0.2,0.2,0.8,57.85692474,5.635191967,91.12458
244,0.6,0.2,0,0.2,0,0.2,0.8,21.28115655,5.897440045,78.30116
245,0.6,0.2,0.2,0,0,0.2,0.8,27.37388064,6.055092296,81.88669
246,0.6,0.4,0,0,0,0.2,0.8,21.46579436,4.45694611,82.80681
247,0.8,0,0,0,0.2,0.2,0.8,58.51980515,5.221751907,91.80793
248,0.8,0,0,0.2,0,0.2,0.8,18.06988937,5.513401371,76.62158
249,0.8,0,0.2,0,0,0.2,0.8,23.31254317,4.911052073,82.59948
250,0.8,0.2,0,0,0,0.2,0.8,20.49671118,4.482539613,82.05495
251,1,0,0,0,0,0.2,0.8,14.65921032,0.609531841,96.00798
252,0,0,0,0,1,0.4,0.6,52.83151106,3.938593369,93.06221
253,0,0,0,0.2,0.8,0.4,0.6,54.8058145,3.258482335,94.38815
254,0,0,0,0.4,0.6,0.4,0.6,40.49606306,4.587428708,89.82459
255,0,0,0,0.6,0.4,0.4,0.6,30.15798001,5.576282503,84.39514
256,0,0,0,0.8,0.2,0.4,0.6,24.42622189,5.304356114,82.15858
257,0,0,0,1,0,0.4,0.6,19.77748579,5.187754137,79.22009
258,0,0,0.2,0,0.8,0.4,0.6,64.34981434,0.417991951,99.35463
259,0,0,0.2,0.2,0.6,0.4,0.6,64.52626624,0.512420416,99.21213
260,0,0,0.2,0.4,0.4,0.4,0.6,61.19818852,1.491474781,97.62086
261,0,0,0.2,0.6,0.2,0.4,0.6,54.86117792,1.237883937,97.7934
262,0,0,0.2,0.8,0,0.4,0.6,18.21965019,5.604486531,76.47559
263,0,0,0.4,0,0.6,0.4,0.6,62.55582658,1.292269858,97.97602
264,0,0,0.4,0.2,0.4,0.4,0.6,66.19296577,0.065271909,99.90149
265,0,0,0.4,0.4,0.2,0.4,0.6,60.87110699,1.691124869,97.29689
266,0,0,0.4,0.6,0,0.4,0.6,28.36068258,4.832220211,85.44201
267,0,0,0.6,0,0.4,0.4,0.6,61.56390979,0.786686978,98.73828
268,0,0,0.6,0.2,0.2,0.4,0.6,59.13508043,1.0386936,98.27384
269,0,0,0.6,0.4,0,0.4,0.6,36.97152731,2.060221292,94.72168
270,0,0,0.8,0,0.2,0.4,0.6,58.53036672,4.48618343,92.88094
271,0,0,0.8,0.2,0,0.4,0.6,42.87131317,5.657016637,88.34286
272,0,0,1,0,0,0.4,0.6,35.67693732,6.058770317,85.48301
273,0,0.2,0,0,0.8,0.4,0.6,53.27679351,4.457794858,92.27881
274,0,0.2,0,0.2,0.6,0.4,0.6,45.6679433,3.611405391,92.67156
275,0,0.2,0,0.4,0.4,0.4,0.6,29.32359078,5.072771779,85.25201
276,0,0.2,0,0.6,0.2,0.4,0.6,21.29592615,5.470581603,79.56184
277,0,0.2,0,0.8,0,0.4,0.6,15.30341128,3.591978643,80.99019
278,0,0.2,0.2,0,0.6,0.4,0.6,60.12464035,4.49679082,93.04133
279,0,0.2,0.2,0.2,0.4,0.4,0.6,59.00280123,5.531503754,91.42858
280,0,0.2,0.2,0.4,0.2,0.4,0.6,45.37733488,5.17668432,89.76009
281,0,0.2,0.2,0.6,0,0.4,0.6,26.1483687,4.384357432,85.64047
282,0,0.2,0.4,0,0.4,0.4,0.6,61.42057219,1.990808892,96.86049
283,0,0.2,0.4,0.2,0.2,0.4,0.6,58.12680649,3.946540601,93.64213
